“ID”,"ORDEN","FAMILIA","NOMBRE CIENTIFICO","NOMBRE COMUN","NOMBRE EN INGLES","DS 004-2014-MINAGRI","STATUS  MIGRATORIO","Enero","Febrero","Marzo","Abril","Mayo","Junio",,
"100","CUCULIFORMES","CUCULIDAE","Crotophaga sulcirostris","Guardacaballo - Garrapatero de Pico Estriado","Groove-billed Ani","","R","7","21","17","20","17","8",,
"101","FALCONIFORMES","FALCONIDAE","Falco peregrinus","Halcón Peregrino","Peregrine Falcon","NT","MN","1","3","1","","","",,
"102","FALCONIFORMES","FALCONIDAE","Caracara plancus","Carancho","Southern Caracara","","MAN","","","","","","",,
"103","FALCONIFORMES","FALCONIDAE","Falco femoralis","Halcón Aplomado - Halcón Perdiguero","Aplomado Falcon","","MAN","","","","","","",,
"104","FALCONIFORMES","FALCONIDAE","Milvago chimachima","Cara cara cabeza amarilla","Yellow-headed Caracara","","MAN","3","","","","","",,
"105","FALCONIFORMES","FALCONIDAE","Falco sparverius","Cernícalo Americano","American Kestrel","","R","4","5","1","3","2","2",,
"106","GRUIFORMES","RALLIDAE","Porzana carolina","Gallineta sora","Sora","","MN","","","","","","",,
"107","GRUIFORMES","RALLIDAE","Aramides cajaneus","Unchala - Gallineta de Cuello Gris","Gray-necked Wood-Rail","","MAN","","","","","","",,
"108","GRUIFORMES","RALLIDAE","Fulica gigantea","Gallareta Gigante - Choca","Giant Coot","NT","MAN","","","","","","",,
"109","GRUIFORMES","RALLIDAE","Neocrex erythrops","Gallinetita Pico Rojo","Paint-Billed Crake","","MAN","","","","","","",,
"110","GRUIFORMES","RALLIDAE","Fulica rufifrons","Gallareta Frente Roja","Red-fronted Coot","VU","ML","","","","","6","",,
"111","GRUIFORMES","RALLIDAE","Porphyrio martinica","Polla sultana - Polla Morada","Purple Gallinule","","ML","","","","4","","",,
"112","GRUIFORMES","RALLIDAE","Fulica ardesiaca","Gallareta andina, Hayno","Slate-colored (Andean) Coot","","R","31","48","30","21","12","31",
"113","GRUIFORMES","RALLIDAE","Gallinula galeata","Polla de Agua","Common Gallinule","","R","77","45","46","50","321","437",,
"114","GRUIFORMES","RALLIDAE","Laterallus jamaicensis","Gallinetita Negra","Black Rail","","R","","","","","","",,
